商品URL,商品名,商品コード,型番,発売日,メーカー
https://akizukidenshi.com/catalog/g/g129542/,チップ積層セラミックコンデンサー 4.7μF50V X7R 3517,129542,KRM31KR71H475KH01,2024/11/08 8:46:05,株式会社村田製作所(muRata)
https://akizukidenshi.com/catalog/g/g129577/,デジタル温度センサー PJ85775P,129577,PJ85775P,2024/11/06 9:28:33,PANJIT INTERNATIONAL INC.(パンジット)
https://akizukidenshi.com/catalog/g/g129530/,USB-パラレル変換IC FT245RNL,129530,FT245RNL,2024/11/01 9:15:32,Future Technology Devices International Ltd(FTDI)
https://akizukidenshi.com/catalog/g/g129599/,ロータリーエンコーダー(ノンクリックタイプ),129599,EC12E24104A6,2024/10/22 9:25:33,アルプスアルパイン株式会社(ALPS)
https://akizukidenshi.com/catalog/g/g129597/,定電流ダイオード 22.5mA S-223T,129597,S-223T,2024/10/22 9:24:14,SEMITEC株式会社（石塚電子株式会社）
https://akizukidenshi.com/catalog/g/g130028/,表面実装型クリスタル(水晶発振子) 32.768kHz,130028,32.768K12.5PI/4115E,2024/09/27 8:37:09,YUECHUNG INTERNATIONAL CORP. (YIC)
https://akizukidenshi.com/catalog/g/g129604/,Raspberry Pi Pico 2,129604,SC1631,2024/09/18 11:03:02,ラズベリーパイ財団(Raspberry Pi Foundation)
https://akizukidenshi.com/catalog/g/g129504/,ルネサスマイコン R7FA0E1073CSC,129504,R7FA0E1073CSC,2024/09/16 8:48:47,ルネサスエレクトロニクス株式会社(Renesas)
https://akizukidenshi.com/catalog/g/g130004/,Bluetoothオーディオモジュール BM83,130004,BM83SM1-00AB,2024/09/17 8:35:22,Microchip Technology Inc.(マイクロチップ)/Atmel Corporation(アトメル)
https://akizukidenshi.com/catalog/g/g130013/,デジタル温度センサー TC74A0-3.3VCTTR,130013,TC74A0-3.3VCTTR,2024/09/13 9:34:40,Microchip Technology Inc.(マイクロチップ)/Atmel Corporation(アトメル)
https://akizukidenshi.com/catalog/g/g130016/,PICマイコン PIC16F15313-I/P,130016,PIC16F15313-I/P,2024/09/09 9:13:10,Microchip Technology Inc.(マイクロチップ)/Atmel Corporation(アトメル)
https://akizukidenshi.com/catalog/g/g130014/,PICマイコン PIC12F1571-I/P,130014,PIC12F1571-I/P,2024/09/07,Microchip Technology Inc.(マイクロチップ)/Atmel Corporation(アトメル)
https://akizukidenshi.com/catalog/g/g130011/,2回路入低消費レールtoレールCMOSオペアンプ MCP6002-E/P,130011,MCP6002-E/P,2024/09/06 9:15:01,Microchip Technology Inc.(マイクロチップ)/Atmel Corporation(アトメル)
https://akizukidenshi.com/catalog/g/g129524/,銀レス鉛フリーはんだ 精密プリント基板用 Φ0.8mm,129524,SD-72,2024/09/05 13:02:47,太洋電機産業株式会社(goot)
https://akizukidenshi.com/catalog/g/g130009/,AVRマイコン ATTINY402-SSNR,130009,ATTINY402-SSNR,2024/09/04 9:03:36,Microchip Technology Inc.(マイクロチップ)/Atmel Corporation(アトメル)
https://akizukidenshi.com/catalog/g/g129427/,デジタル風速計 MS6652C,129427,MS6652CCBGLO,2024/08/28 9:09:18,MGL International Limited(Mastech)
https://akizukidenshi.com/catalog/g/g129594/,赤外線受信モジュール TSSP58038,129594,TSSP58038,2024/08/26 9:16:51,Vishay Intertechnology
https://akizukidenshi.com/catalog/g/g129562/,電磁ブザー 12mm IPX7防水 MB03-A12L3HPR,129562,MB03-A12L3HPR,2024/08/27 9:02:41,SPL (Hong Kong) Limited
https://akizukidenshi.com/catalog/g/g129505/,CH9102F USBシリアル変換モジュールキット Type-C,129505,AE-CH9102F-TYPEC-BO,2024/08/26 9:15:24,株式会社秋月電子通商
https://akizukidenshi.com/catalog/g/g129472/,パルストランス内蔵モジュラージャック(LANコネクター)(RJ-45)RJLD-260YC1,129472,RJLD-260YC1,2024/08/21 15:18:10,TAIMAG(Taiwan Magnetic)
https://akizukidenshi.com/catalog/g/g129590/,降圧用DCDCコンバーター RT8250GSP,129590,RT8250GSP,2024/08/02 9:17:22,Richtek Technology Corporation
https://akizukidenshi.com/catalog/g/g129584/,モールドツマミ(ノブ) K-1-B Φ35mm×24mm,129584,K-1-B,2024/08/07 8:46:19,サトーパーツ
https://akizukidenshi.com/catalog/g/g129592/,ゲートドライバー RT9624AZS,129592,RT9624AZS,2024/08/05 8:57:30,Richtek Technology Corporation
https://akizukidenshi.com/catalog/g/g129591/,低損失レギュレーター 3.3V 200mA RT9069-33GB,129591,RT9069-33GB,2024/08/02 9:42:15,Richtek Technology Corporation
https://akizukidenshi.com/catalog/g/g129496/,NchパワーMOSFET 100V122A PSMQC040N10NS2,129496,PSMQC040N10NS2_R2_00601,2024/08/01 8:32:34,PANJIT INTERNATIONAL INC.(パンジット)
